path	type	category	risk	size_bytes	note
docs/phase4/17_5_reporting_api_final_closure_standard.md	file	generated_report	LOW	1306	phase4_evidence_keep
docs/phase4/17_reporting_api_final_closure_report.md	file	generated_report	LOW	735	phase4_evidence_keep
docs/phase4/18_1_gateway_runtime_apply_readiness_matrix.tsv	file	generated_report	LOW	528	phase4_evidence_keep
docs/phase4/18_1_gateway_runtime_apply_readiness_report.md	file	generated_report	LOW	19716	phase4_evidence_keep
docs/phase4/18_1_gateway_runtime_apply_readiness_standard.md	file	generated_report	LOW	1392	phase4_evidence_keep
docs/phase4/18_1_gateway_runtime_discovery_inventory.tsv	file	generated_report	LOW	828	phase4_evidence_keep
docs/phase4/18_1_opening_stock_inventory.tsv	file	generated_report	LOW	538	phase4_evidence_keep
docs/phase4/18_1_opening_stock_matrix.tsv	file	generated_report	LOW	680	phase4_evidence_keep
docs/phase4/18_1_opening_stock_report.md	file	generated_report	LOW	4520	phase4_evidence_keep
docs/phase4/18_1_opening_stock_standard.md	file	generated_report	LOW	1594	phase4_evidence_keep
docs/phase4/18_2_reporting_runtime_service_entry_apply_matrix.tsv	file	generated_report	LOW	479	phase4_evidence_keep
docs/phase4/18_2_reporting_runtime_service_entry_apply_plan_report.md	file	generated_report	LOW	22264	phase4_evidence_keep
docs/phase4/18_2_reporting_runtime_service_entry_apply_plan_standard.md	file	generated_report	LOW	1480	phase4_evidence_keep
docs/phase4/18_2_reporting_runtime_service_entry_candidate_execution.sh	file	generated_report	LOW	1431	phase4_evidence_keep
docs/phase4/18_2_reporting_runtime_service_entry_candidate_inventory.tsv	file	generated_report	LOW	2682	phase4_evidence_keep
docs/phase4/18_2_stock_movement_engine_inventory.tsv	file	generated_report	LOW	663	phase4_evidence_keep
docs/phase4/18_2_stock_movement_engine_matrix.tsv	file	generated_report	LOW	828	phase4_evidence_keep
docs/phase4/18_2_stock_movement_engine_report.md	file	generated_report	LOW	5333	phase4_evidence_keep
docs/phase4/18_2_stock_movement_engine_standard.md	file	generated_report	LOW	2294	phase4_evidence_keep
docs/phase4/18_3_gateway_route_apply_gate_inventory.tsv	file	generated_report	LOW	652	phase4_evidence_keep
docs/phase4/18_3_gateway_route_apply_gate_matrix.tsv	file	generated_report	LOW	648	phase4_evidence_keep
docs/phase4/18_3_gateway_route_controlled_apply_candidate_execution.sh	file	generated_report	LOW	2101	phase4_evidence_keep
docs/phase4/18_3_gateway_route_controlled_apply_gate_report.md	file	generated_report	LOW	30506	phase4_evidence_keep
docs/phase4/18_3_gateway_route_controlled_apply_gate_standard.md	file	generated_report	LOW	1741	phase4_evidence_keep
docs/phase4/18_3_sales_stock_decrement_inventory.tsv	file	generated_report	LOW	732	phase4_evidence_keep
docs/phase4/18_3_sales_stock_decrement_matrix.tsv	file	generated_report	LOW	871	phase4_evidence_keep
docs/phase4/18_3_sales_stock_decrement_report.md	file	generated_report	LOW	5687	phase4_evidence_keep
docs/phase4/18_3_sales_stock_decrement_standard.md	file	generated_report	LOW	2467	phase4_evidence_keep
